,RainTomorrow
42305,0
20387,1
32951,0
91385,0
115228,0
112183,1
10609,1
10836,0
83847,0
24050,0
23025,0
86193,0
138426,0
119797,0
48885,0
124158,0
74084,1
87324,0
51951,0
88078,0
102633,0
95665,0
111943,0
81608,1
121477,0
81817,1
50374,1
103872,0
136685,0
97968,0
91729,0
24149,0
9703,1
26134,0
6702,0
72477,0
65336,1
109710,0
57293,1
35282,0
26265,0
46861,0
118263,0
111423,0
116361,0
73543,1
16414,0
62509,0
73079,0
57381,0
76159,1
99772,0
94322,0
60492,0
9894,0
38451,1
58437,0
61656,0
41727,0
88741,0
58699,0
65616,0
88587,1
94158,0
105174,0
38399,0
65985,0
132537,0
138694,0
42865,0
72506,1
126351,0
126412,0
22426,0
73792,0
58401,0
102074,0
136636,0
21868,0
86985,0
23358,0
4407,0
61004,0
114583,1
91256,1
13330,0
72964,0
84387,0
77869,0
46939,0
94458,0
100044,0
66331,0
73011,0
24183,0
106393,0
135194,0
65963,0
89770,1
143120,0
13588,0
31394,0
36956,1
54202,1
92916,0
70177,1
99084,0
19136,0
38764,0
127443,0
74174,0
40056,1
79994,0
120219,0
1671,1
95192,0
13629,0
72359,0
18166,0
142217,1
70075,1
2818,0
63876,0
65646,0
31778,1
15848,0
73442,0
33046,0
121945,0
143027,0
97421,1
24734,0
89683,0
144617,0
98433,0
75563,0
103308,0
132887,0
46414,1
70467,0
10504,0
88708,0
141276,0
111240,1
66604,0
29536,1
50205,0
33723,0
138269,0
76808,0
118135,1
60227,0
76937,1
57006,0
21413,0
9153,1
124440,0
98699,0
80487,0
42799,0
412,0
7482,0
90970,1
86890,1
87643,1
77961,1
57738,0
36389,0
15471,0
39499,0
61894,0
8420,0
113775,0
38784,0
82596,0
80877,0
116659,0
85388,0
111078,0
108295,1
30761,0
96734,0
72292,0
61703,0
86537,1
143724,1
32772,1
21133,0
109335,0
5652,0
125743,0
114512,0
26084,0
112249,0
129748,1
28056,0
119287,0
9409,1
108797,0
57455,0
74590,0
48621,0
94728,0
49480,0
125772,0
95101,0
105500,1
91799,0
88539,0
118442,0
66039,1
114703,0
33366,0
118423,0
100839,0
95259,0
102256,0
70091,0
3849,1
144767,0
23110,0
60405,1
27609,0
41160,0
110392,0
76704,0
112500,0
26369,1
124543,0
116236,0
37504,0
101851,1
48715,1
132236,1
95148,1
63264,0
97638,0
52484,0
73927,0
43393,1
141637,0
144416,0
61124,0
15482,0
96197,0
84520,0
117649,0
33403,1
13563,0
68298,0
61379,0
92020,1
67672,1
9811,0
61177,0
32610,0
64277,0
63698,0
143832,0
57488,0
21620,0
74773,0
123925,0
3717,0
96456,0
68868,0
77400,0
127635,0
86396,0
10629,1
143968,0
119459,0
145399,0
42916,0
143287,0
108537,0
117706,0
131099,0
60467,1
115625,0
145287,0
114899,0
46374,1
28514,0
116480,0
99175,0
82652,0
137644,0
135399,0
61466,1
20471,1
41670,0
43652,0
111858,1
20445,1
56297,1
13106,1
39065,1
75562,0
77322,1
12667,0
70083,1
120623,0
139309,1
120701,0
137888,0
104904,1
31987,1
117931,0
105458,0
27535,0
145048,0
127304,0
80781,1
20249,0
49946,0
68208,0
2977,1
135185,0
114390,0
13526,0
39034,0
108249,0
136809,1
14921,0
103738,0
67546,0
27282,0
63721,0
92302,0
95239,0
29993,0
58725,0
52632,1
63716,0
68677,1
133930,0
115130,1
70285,0
46584,0
9066,1
94660,0
49654,0
102259,0
49096,1
132972,0
65392,0
3706,0
35460,0
66270,0
35721,1
101302,0
119065,0
123373,1
38461,1
38550,1
38177,0
107747,0
7489,0
125289,0
37550,0
135155,1
67646,0
11997,0
46479,0
133735,0
129212,0
69404,0
131512,0
37820,0
31626,1
9273,0
138828,1
27674,0
109177,1
122400,1
68544,0
34037,1
107292,0
36109,0
46563,0
131022,1
41954,0
30438,1
72457,1
29710,0
52127,0
76112,0
130324,1
55768,1
84186,1
47613,1
77590,0
65321,0
9657,0
55470,0
49824,0
95620,0
18529,0
80130,0
94519,0
102518,1
57652,0
69303,0
169,0
26875,0
69163,0
66474,1
78078,0
118390,0
120254,0
92250,0
93896,0
111505,1
78416,0
21711,1
136905,0
83398,0
46302,0
18682,1
53566,0
84701,0
112413,0
134393,1
119612,0
16684,0
91816,0
92936,0
88630,1
37318,0
96636,1
64518,0
135700,1
50628,0
45245,1
138555,0
5777,0
34792,0
68859,1
46465,1
12789,0
573,0
19078,0
25549,0
22728,0
46801,0
50769,0
45207,0
67016,0
81169,0
105094,0
26927,1
141304,0
42745,1
62257,1
18739,0
78227,0
7138,0
83193,0
51216,0
132323,0
42620,1
113748,1
5262,1
48867,0
102600,0
105860,0
27429,0
75614,1
108079,0
8964,0
27698,0
124104,0
97580,0
92722,1
134811,0
27328,0
97192,0
113680,0
8166,0
87774,0
110565,0
85967,0
86389,0
43706,1
41721,0
7698,0
137884,0
89974,1
121452,0
56909,0
102910,0
28725,0
70599,0
34278,0
22719,0
9502,0
102125,0
75827,1
124128,0
94669,0
62462,0
134247,0
121363,0
135004,0
60249,0
109314,0
5977,0
68125,1
32972,1
137987,0
29455,0
67502,0
2149,0
107255,0
132109,0
35113,0
135583,1
100648,1
144239,0
42219,1
48521,0
123215,0
107323,0
11141,1
140564,0
119548,1
118922,0
31877,0
112790,0
47359,0
123103,0
126347,0
12920,0
125311,0
43740,0
116898,0
102410,0
55202,1
122820,0
8170,0
22365,1
91105,0
62338,0
35953,0
76978,0
37649,0
31540,1
140479,0
106544,0
41204,0
126154,0
6309,0
34135,0
4702,0
43668,1
33527,0
140153,0
99405,0
8023,0
72582,0
46531,0
15537,0
27268,0
36328,0
141689,0
101397,0
69038,1
44952,1
124061,0
18560,0
30559,1
136686,0
137333,0
32190,0
90565,0
2041,0
45301,0
9869,0
64507,0
31211,0
72608,1
52561,0
109253,0
140943,0
35611,0
104231,0
38788,0
114843,1
1404,0
61530,0
122127,1
127844,0
19351,0
131369,0
34355,0
21389,0
97776,1
2581,0
141438,1
63475,1
1734,0
101106,0
10402,0
93485,0
122398,1
65727,0
94366,0
22452,0
132728,1
95918,0
76592,1
137577,0
18910,0
128321,1
110549,1
48461,0
90434,0
20252,1
23567,1
48081,0
61469,0
140500,0
51977,0
113742,0
34059,0
54656,0
42892,0
45809,1
51506,0
132921,0
37332,0
53591,0
30357,0
76812,0
121196,0
121822,0
88109,1
117593,1
120608,0
22928,1
127044,1
5104,1
32528,0
133952,0
8678,0
125808,1
51556,0
74835,0
129978,0
134037,0
80859,0
50427,0
74636,0
83079,0
144760,0
14991,0
116125,0
124604,0
17594,1
105282,0
102339,0
67840,0
104174,0
126243,1
98790,0
14621,0
109512,1
16230,0
60432,0
57290,0
38626,0
22048,0
103943,0
18279,0
108998,0
112053,0
44819,0
134057,1
119920,0
9302,0
60404,1
78402,0
78275,1
129790,1
130120,0
138713,0
112823,0
137447,0
104932,0
127804,0
114891,1
90817,0
30698,1
4283,0
46630,1
9905,0
119206,1
2225,0
138800,0
64918,0
107940,0
34721,0
9459,1
9531,1
100915,0
110673,0
114155,0
30899,0
25516,0
95919,0
118815,0
61051,0
44604,0
19468,0
67141,0
3981,0
109541,0
83493,0
52086,0
46080,0
67505,0
6847,0
110676,0
95917,0
107934,0
123484,0
84709,0
85088,0
34283,0
41461,0
6767,0
134821,0
26475,0
40909,0
32801,0
139625,0
103332,0
108630,0
31800,0
140652,0
51132,0
96780,0
88431,0
91496,1
82709,0
59073,0
20619,0
73404,0
73360,0
134915,0
52985,0
8740,0
44300,0
133500,0
58536,0
105760,0
57335,0
90862,0
51254,0
99972,0
25315,0
87810,0
108817,0
90526,0
55046,0
116648,1
62693,1
116006,0
3831,0
6921,0
61582,0
41604,0
104614,1
88549,0
3610,1
50514,0
135751,1
25428,0
42943,0
97258,0
26884,0
107810,0
142976,1
83870,0
30526,0
34604,0
21614,0
2582,0
61757,0
85304,0
52725,0
86466,0
48042,0
75869,0
35597,1
137261,0
36054,0
18933,0
75768,0
109975,1
52962,0
87473,0
44400,0
89368,0
45685,1
26699,1
36394,0
48422,0
29331,0
79640,0
3117,0
14641,0
629,0
110037,0
105152,0
106104,0
15246,1
63773,0
87114,0
99141,0
134408,0
99004,0
117977,0
23040,0
23626,1
62178,1
93469,0
111231,0
127013,0
46099,0
51692,1
124161,0
72972,0
101127,0
128191,0
93070,0
138798,0
32744,0
100777,1
3398,1
17798,0
109081,1
115563,1
15063,0
132066,1
144059,0
120117,0
132510,0
49268,0
6287,0
3385,0
79180,0
55257,0
108501,0
135659,0
66229,0
58633,1
76116,0
54930,1
107166,0
25700,0
109593,0
94096,1
35003,0
39904,1
138419,0
86999,1
939,0
70609,0
85217,1
35451,1
17110,0
11327,0
12711,0
76235,1
85936,1
88224,1
131463,0
33560,1
131695,0
78188,0
126467,0
137549,0
10342,0
98381,0
8114,0
25076,0
86166,1
110712,1
95249,0
51997,0
84211,0
131359,1
112427,0
50518,0
109439,0
86378,0
827,0
133949,0
85022,0
138782,0
7666,0
62611,0
116894,0
24126,1
34445,0
79827,0
104615,1
57214,0
80384,1
127640,0
17549,0
43174,0
38499,0
20605,0
22024,1
64438,0
45378,0
32980,1
49354,1
85920,0
139458,0
38738,1
133201,0
72589,0
117163,0
137594,0
142867,0
94662,0
46689,1
33980,1
99409,0
93291,0
45757,0
55767,1
115047,0
138829,1
122991,0
29099,0
90982,0
17439,0
119881,0
124577,0
57929,0
47663,0
73251,0
100019,0
80128,0
73591,1
4851,0
68161,0
117799,1
142652,1
123114,0
102887,0
29610,1
98091,0
139777,1
47831,0
62125,0
47787,0
71363,1
102311,0
39380,0
32725,0
105114,0
47081,0
79627,0
77033,0
112,0
36121,0
72324,0
80931,1
103381,0
105670,0
29667,1
140850,0
60534,0
60078,0
55350,1
108339,0
50582,0
15656,1
129537,0
81525,0
36424,0
78477,1
115553,0
67880,0
119037,0
89193,1
88004,0
16946,0
137823,0
33565,1
36323,0
32762,0
103337,0
137451,0
135261,0
144279,1
30699,1
117515,0
15242,0
44953,0
32700,0
99816,0
144352,0
5408,0
94579,0
122849,1
46658,0
114465,0
48582,0
132998,0
107263,0
102761,0
18942,0
121352,1
136953,0
81912,1
89635,0
130410,0
31477,1
97347,0
113382,0
99491,0
66542,0
29300,1
28355,0
45947,0
92641,0
42575,1
9915,0
51742,0
35863,0
49672,0
23429,0
118464,0
115583,1
51491,0
15827,0
92085,0
112219,0
23581,0
99639,0
132855,1
100242,0
92356,0
51080,0
108027,0
15090,0
125725,0
52710,1
28547,0
50975,0
46766,0
48261,0
14417,0
20018,0
84270,0
77034,0
39449,0
6587,0
108676,0
52071,0
15678,1
36299,1
101830,0
7182,0
93492,0
6614,0
42900,0
47200,0
62096,0
12737,0
120112,0
75510,0
122708,0
112480,1
18408,0
90844,1
70916,0
104632,0
30621,1
61260,0
70154,1
123455,0
59059,1
109400,0
133450,0
28612,0
144091,0
38210,0
30741,0
39356,0
80171,0
128897,1
105961,0
71623,0
87101,1
114406,0
58175,0
111096,0
123712,0
46210,0
75443,1
110728,0
65570,0
110661,0
19099,0
59850,0
132097,0
131869,1
69212,0
67744,0
119212,0
81789,0
82795,0
72239,0
47085,1
24912,0
96482,0
48497,0
1882,0
14471,0
126128,0
97808,0
57554,0
67196,0
18313,0
125055,0
83413,1
31032,1
111840,1
24952,0
16500,0
48954,1
71628,0
128930,0
54842,0
104361,0
49230,0
48571,0
136577,0
123422,1
40120,0
144518,0
1046,0
46110,0
1699,0
50335,0
19790,0
123127,0
127872,0
141420,1
109249,1
123148,0
44242,0
135462,0
133401,0
127107,0
114268,1
18060,0
68507,0
61363,0
129614,0
61922,1
83539,0
113570,0
125357,0
102597,0
1097,0
63669,0
97537,0
38102,0
86938,0
57157,0
11606,0
42753,0
81840,1
62254,1
43694,0
11495,1
41660,1
95336,0
56185,0
45526,0
49311,0
109,0
140827,0
112209,0
29645,0
103905,0
64424,0
77766,0
70670,0
21998,1
144181,0
133879,0
74386,0
10494,1
86302,0
103964,0
23122,0
15936,0
81172,0
143948,0
114258,0
114212,0
43181,0
74587,0
63783,0
57383,0
21791,0
39173,0
120146,0
124409,0
140729,1
138321,0
79383,0
77747,0
46917,0
110983,0
44728,1
24085,0
65618,1
44023,0
43068,0
43234,0
136663,0
690,0
20430,0
32404,1
37790,0
38865,0
116210,1
96433,0
36665,0
83330,0
107753,0
42552,0
82111,0
106481,0
117536,0
116186,0
66406,1
29493,0
99026,0
121288,1
140905,0
51791,1
22799,1
130002,1
50455,0
63141,0
63270,1
85901,0
108712,1
103664,0
33440,0
47485,0
108655,0
81507,0
95221,0
122083,1
82243,1
42281,0
748,1
37885,0
130309,1
141307,0
119813,0
69275,1
125261,0
131765,0
25359,0
144581,0
134131,0
116314,0
59651,0
62448,0
111923,0
93255,0
9730,1
36815,0
48119,1
20953,0
19021,0
123599,0
126364,0
50752,0
108796,0
127250,0
145413,0
125091,0
141786,1
46119,0
94836,0
73803,0
82486,0
55164,0
403,0
100275,0
94911,0
95384,0
42676,0
140677,0
36773,0
124587,0
74257,0
73084,0
70235,1
11275,0
41614,1
94199,0
18865,0
23201,0
72889,0
138729,0
101773,1
39805,0
74967,0
113038,0
119095,0
35046,0
134291,0
123388,1
22197,0
116233,1
122403,0
11507,0
16536,0
137308,0
45600,0
120528,0
141120,0
34868,1
68779,1
62790,0
28752,0
127531,0
120220,0
134190,1
35212,1
141255,0
83154,0
32958,0
138016,0
97067,1
117970,0
129066,1
115458,0
109008,0
54375,0
136616,0
141996,0
48891,0
76342,1
83800,0
93873,0
109222,0
88033,1
105151,1
77605,1
109444,0
94476,0
102364,1
15882,1
138000,0
137342,0
119668,0
73905,1
116543,1
92196,0
87560,1
42660,0
89982,0
45397,0
41700,0
127127,0
11004,0
50924,0
127246,1
60175,0
52916,0
38029,0
136529,0
86697,0
79453,0
85908,0
107363,0
31897,0
79501,0
30381,0
22192,0
81281,1
75701,0
70892,0
90712,0
72557,0
58100,0
77949,1
44636,0
25270,1
96505,0
11551,1
103062,1
99019,0
137290,0
4323,0
45337,0
116127,1
41278,0
135699,0
32575,1
85952,1
15829,0
64193,0
63058,1
20963,0
21571,0
141662,1
123766,0
46843,0
103292,0
130184,0
51982,0
31668,0
137296,0
110236,1
35,0
39735,1
38372,0
19561,0
138866,0
12447,0
33292,0
67834,0
80084,1
16192,0
56947,0
34999,0
62964,0
2484,0
47426,1
83268,0
107290,0
107182,0
10805,0
126299,1
72765,0
90476,0
135472,1
143807,1
34158,0
59467,1
107560,0
81180,1
68604,1
83864,0
114448,1
68176,0
9377,0
13100,1
48407,0
60835,0
140460,1
21981,1
55096,0
83573,0
31264,0
95098,1
144560,1
44964,1
135327,0
82685,1
138058,0
51608,0
56795,0
44136,0
119482,1
27029,1
144836,0
95888,0
102355,0
25381,0
43595,0
57649,0
24268,1
15349,0
51845,0
102299,0
47635,0
127384,0
22095,1
65079,0
130148,0
27652,0
26586,0
77615,1
115784,0
124035,1
53129,1
145141,0
27169,0
135991,0
130451,0
79664,0
42869,0
126079,0
118986,0
54709,0
132254,1
15451,0
96896,0
125425,0
2154,0
90578,0
45354,0
74144,0
79419,0
7649,0
29599,0
45191,0
55278,0
79862,0
10777,0
73313,0
14678,0
55993,0
51377,0
48944,0
17099,0
3732,0
35301,1
38856,0
4699,0
101685,0
35630,0
28199,0
122057,1
77052,1
85404,0
130069,0
67208,1
33332,0
